Name;Energy100g;Sugar100g;Fat100g;Carb100g;Weight_gram
Acerolajuiceraw;23.0;4.5;0.3;4.8;242.0
Acerolawestindiancherryraw;32.0;4.5;0.3;7.69;98.0
Alcoholicbeveragebeerlight;29.0;0.09;0.0;1.64;29.5
AlcoholicbeveragebeerlightBUDLIGHT;29.0;0.09;0.0;1.3;29.5
AlcoholicbeveragebeerlightBUDWEISERSELECT;28.0;0.09;0.0;0.87;29.5
Alcoholicbeveragebeerlighthigheralcohol;46.0;0.09;0.0;0.77;356.0
Alcoholicbeveragebeerlightlowcarb;27.0;0.09;0.0;0.73;29.5
Alcoholicbeveragebeerregularall;43.0;0.09;0.0;3.55;29.7
AlcoholicbeveragebeerregularBUDWEISER;41.0;0.09;0.0;2.97;29.8
Alcoholicbeveragecremedementhe72proof;371.0;0.09;0.3;41.6;33.6
Alcoholicbeveragedaiquiricanned;125.0;0.09;0.0;15.7;30.5
Alcoholicbeveragedaiquiripreparedfromrecipe;186.0;5.58;0.06;6.94;30.2
Alcoholicbeveragedistilledallginrumvodkawhiskey100proof;295.0;5.58;0.0;6.94;27.8
Alcoholicbeveragedistilledallginrumvodkawhiskey80proof;231.0;5.58;0.0;6.94;27.8
Alcoholicbeveragedistilledallginrumvodkawhiskey86proof;250.0;5.58;0.0;0.1;27.8
Alcoholicbeveragedistilledallginrumvodkawhiskey90proof;263.0;5.58;0.0;0.1;27.8
Alcoholicbeveragedistilledallginrumvodkawhiskey94proof;275.0;5.58;0.0;0.1;27.8
Alcoholicbeveragedistilledrum80proof;231.0;5.58;0.0;0.1;27.8
Alcoholicbeveragedistilledvodka80proof;231.0;5.58;0.0;0.1;27.8
Alcoholicbeveragedistilledwhiskey86proof;250.0;5.58;0.0;0.1;27.8
Alcoholicbeverageliqueurcoffeewithcream34proof;327.0;19.76;15.7;20.9;31.1
Alcoholicbeverageliqueurcoffee53proof;336.0;38.3;0.3;46.8;34.8
Alcoholicbeverageliqueurcoffee63proof;308.0;38.3;0.3;32.2;34.8
Alcoholicbeveragemaltbeerhardlemonade;68.0;9.77;0.0;10.07;335.0
Alcoholicbeveragepinacoladacanned;237.0;9.77;7.6;27.6;32.6
Alcoholicbeveragepinacoladapreparedfromrecipe;174.0;22.33;1.88;22.66;31.4
Alcoholicbeveragericesake;134.0;22.33;0.0;5.0;29.1
Alcoholicbeveragetequilasunrisecanned;110.0;22.33;0.1;11.3;31.1
Alcoholicbeveragewhiskeysour;149.0;22.33;0.03;13.17;30.4
Alcoholicbeveragewhiskeysourcanned;119.0;22.33;0.0;13.4;30.8
Alcoholicbeveragewhiskeysourpreparedfromitem14028;153.0;12.78;0.06;12.82;30.4
Alcoholicbeveragewhiskeysourpreparedwithwaterwhiskeyandpowdermix;164.0;15.81;0.02;15.85;29.4
Alcoholicbeveragewinecooking;50.0;1.55;0.0;6.3;4.9
Alcoholicbeveragewinedessertdry;152.0;1.09;0.0;11.67;29.5
Alcoholicbeveragewinedessertsweet;160.0;7.78;0.0;13.69;29.5
Alcoholicbeveragewinelight;49.0;1.15;0.0;1.17;29.5
Alcoholicbeveragewinetableall;83.0;0.79;0.0;2.72;148.0
Alcoholicbeveragewinetablered;85.0;0.62;0.0;2.61;29.4
AlcoholicBeveragewinetableredBarbera;85.0;0.62;0.0;2.79;29.4
AlcoholicBeveragewinetableredBurgundy;86.0;0.62;0.0;3.69;29.5
AlcoholicBeveragewinetableredCabernetFranc;83.0;0.62;0.0;2.45;29.4
AlcoholicBeveragewinetableredCabernetSauvignon;83.0;0.62;0.0;2.6;29.4
AlcoholicBeveragewinetableredCarignane;74.0;0.62;0.0;2.4;29.4
AlcoholicBeveragewinetableredClaret;83.0;0.62;0.0;3.01;29.4
AlcoholicBeveragewinetableredGamay;78.0;0.62;0.0;2.38;29.4
AlcoholicBeveragewinetableredLemberger;80.0;0.62;0.0;2.46;29.4
AlcoholicBeveragewinetableredMerlot;83.0;0.62;0.0;2.51;29.4
AlcoholicBeveragewinetableredMouvedre;88.0;0.62;0.0;2.64;29.4
AlcoholicBeveragewinetableredPetiteSirah;85.0;0.62;0.0;2.68;29.5
AlcoholicBeveragewinetableredPinotNoir;82.0;0.62;0.0;2.31;29.4
AlcoholicBeveragewinetableredSangiovese;86.0;0.62;0.0;2.62;29.4
AlcoholicBeveragewinetableredSyrah;83.0;0.62;0.0;2.58;29.4
AlcoholicBeveragewinetableredZinfandel;88.0;0.62;0.0;2.86;29.4
Alcoholicbeveragewinetablewhite;82.0;0.96;0.0;2.6;29.4
AlcoholicbeveragewinetablewhiteChardonnay;84.0;0.96;0.0;2.16;29.3
AlcoholicbeveragewinetablewhiteCheninBlanc;80.0;0.96;0.0;3.31;29.5
AlcoholicbeveragewinetablewhiteFumeBlanc;82.0;0.96;0.0;2.27;29.3
AlcoholicbeveragewinetablewhiteGewurztraminer;81.0;0.96;0.0;2.6;29.5
Alcoholicbeveragewinetablewhitelateharvest;112.0;0.96;0.0;13.39;30.8
AlcoholicbeveragewinetablewhitelateharvestGewurztraminer;108.0;0.96;0.0;11.39;30.5
AlcoholicbeveragewinetablewhiteMullerThurgau;76.0;0.96;0.0;3.48;29.5
AlcoholicbeveragewinetablewhiteMuscat;82.0;0.96;0.0;5.23;30.0
AlcoholicbeveragewinetablewhitePinotBlanc;81.0;0.96;0.0;1.94;29.3
AlcoholicbeveragewinetablewhitePinotGrisGrigio;83.0;0.96;0.0;2.06;29.3
AlcoholicbeveragewinetablewhiteRiesling;80.0;0.96;0.0;3.74;29.6
AlcoholicbeveragewinetablewhiteSauvignonBlanc;81.0;0.96;0.0;2.05;29.3
AlcoholicbeveragewinetablewhiteSemillon;82.0;0.96;0.0;3.12;29.5
Alcoholicbeveragesbeerhigheralcohol;58.0;0.96;0.0;0.27;30.6
Alcoholicbeverageswinerose;83.0;0.96;0.0;3.8;30.3
Alfalfaseedssproutedraw;23.0;0.2;0.69;2.1;33.0
Amaranthgraincooked;102.0;0.2;1.58;18.69;246.0
Amaranthgrainuncooked;371.0;1.69;7.02;65.25;193.0
Amaranthleavescookedboileddrainedwithsalt;21.0;1.69;0.18;4.11;132.0
Amaranthleavescookedboileddrainedwithoutsalt;21.0;1.69;0.18;4.11;132.0
Amaranthleavesraw;23.0;1.69;0.33;4.02;28.0
AndreasGlutenFreeSoftDinnerRoll;257.0;2.98;8.2;40.24;69.0
Animalfatbacongrease;897.0;2.98;99.5;0.0;4.3
Applejuicecannedorbottledunsweetenedwithaddedascorbicacid;46.0;9.62;0.13;11.3;248.0
Applejuicecannedorbottledunsweetenedwithaddedascorbicacidcalciumandpotassium;48.0;9.47;0.17;11.49;177.0
Applejuicecannedorbottledunsweetenedwithoutaddedascorbicacid;46.0;9.62;0.13;11.3;248.0
Applejuicefrozenconcentrateunsweeteneddilutedwith3volumewaterwithoutaddedascorbicacid;47.0;10.93;0.1;11.54;239.0
Applejuicefrozenconcentrateunsweeteneddilutedwith3volumewaterwithaddedascorbicacid;47.0;10.93;0.1;11.54;239.0
Applejuicefrozenconcentrateunsweetenedundilutedwithaddedascorbicacid;166.0;38.83;0.37;41.0;211.0
Applejuicefrozenconcentrateunsweetenedundilutedwithoutaddedascorbicacid;166.0;38.83;0.37;41.0;211.0
APPLEBEES9ozhousesirloinsteak;189.0;38.83;9.08;0.0;157.0
APPLEBEESchickentendersplatter;297.0;0.36;16.24;17.98;209.0
APPLEBEESchickentendersfromkidsmenu;296.0;0.39;16.15;18.36;35.0
APPLEBEESchili;157.0;2.27;9.79;4.57;136.0
APPLEBEEScoleslaw;120.0;9.33;7.09;13.17;76.0
APPLEBEEScrunchyonionrings;356.0;4.48;19.61;40.17;350.0
APPLEBEESDoubleCrunchShrimp;323.0;1.07;18.9;25.96;206.0
APPLEBEESfishhandbattered;202.0;0.51;9.14;16.65;250.0
APPLEBEESfrenchfries;290.0;0.0;13.17;39.5;164.0
APPLEBEESKRAFTMacaroniampCheesefromkidsmenu;143.0;3.7;4.34;21.08;124.0
APPLEBEESmozzarellasticks;316.0;2.8;18.37;22.87;32.0
Applescannedsweetenedsliceddrainedheated;67.0;14.84;0.43;16.84;204.0
Applesdehydratedlowmoisturesulfuredstewed;74.0;14.84;0.12;19.91;193.0
Applesdehydratedlowmoisturesulfureduncooked;346.0;81.13;0.58;93.53;60.0
Applesdriedsulfuredstewedwithaddedsugar;83.0;81.13;0.07;20.73;280.0
Applesdriedsulfuredstewedwithoutaddedsugar;57.0;13.32;0.07;15.32;255.0
Applesdriedsulfureduncooked;243.0;57.19;0.32;65.89;86.0
ApplesfrozenunsweetenedheatedIncludesfoodsforUSDAsFoodDistributionProgram;47.0;57.19;0.33;12.0;206.0
ApplesfrozenunsweetenedunheatedIncludesfoodsforUSDAsFoodDistributionProgram;48.0;10.1;0.32;12.31;173.0
ApplesrawfujiwithskinIncludesfoodsforUSDAsFoodDistributionProgram;63.0;11.68;0.18;15.22;109.0
ApplesrawgalawithskinIncludesfoodsforUSDAsFoodDistributionProgram;57.0;10.37;0.12;13.68;109.0
Applesrawgoldendeliciouswithskin;57.0;10.04;0.15;13.6;109.0
ApplesrawgrannysmithwithskinIncludesfoodsforUSDAsFoodDistributionProgram;58.0;9.59;0.19;13.61;109.0
ApplesrawreddeliciouswithskinIncludesfoodsforUSDAsFoodDistributionProgram;59.0;10.48;0.2;14.06;109.0
ApplesrawwithskinIncludesfoodsforUSDAsFoodDistributionProgram;52.0;10.39;0.17;13.81;125.0
Applesrawwithoutskin;48.0;10.1;0.13;12.76;110.0
Applesrawwithoutskincookedboiled;53.0;11.01;0.36;13.64;171.0
Applesrawwithoutskincookedmicrowave;56.0;11.61;0.42;14.41;170.0
Applesaucecannedsweetenedwithsalt;76.0;11.61;0.18;19.91;255.0
Applesaucecannedsweetenedwithoutsalt;68.0;14.67;0.17;17.49;246.0
Applesaucecannedunsweetenedwithaddedascorbicacid;42.0;9.39;0.1;11.27;244.0
ApplesaucecannedunsweetenedwithoutaddedascorbicacidIncludesfoodsforUSDAsFoodDistributionProgram;42.0;9.39;0.1;11.27;244.0
Apricotnectarcannedwithaddedascorbicacid;56.0;12.79;0.45;13.63;266.0
Apricotscannedextraheavysyruppackwithoutskinsolidsandliquids;96.0;12.79;0.04;24.85;246.0
ApricotscannedextralightsyruppackwithskinsolidsandliquidsIncludesfoodsforUSDAsFoodDistributionProgram;49.0;12.79;0.1;12.5;247.0
Apricotscannedheavysyruppackwithskinsolidsandliquids;83.0;19.87;0.08;21.47;258.0
Apricotscannedheavysyruppackwithoutskinsolidsandliquids;83.0;19.87;0.09;21.45;258.0
Apricotscannedheavysyrupdrained;83.0;18.65;0.11;21.31;219.0
Apricotscannedjuicepackwithskinsolidsandliquids;48.0;10.74;0.04;12.34;244.0
Apricotscannedlightsyruppackwithskinsolidsandliquids;63.0;14.89;0.05;16.49;253.0
Apricotscannedwaterpackwithskinsolidsandliquids;27.0;4.79;0.16;6.39;243.0
Apricotscannedwaterpackwithoutskinsolidsandliquids;22.0;4.79;0.03;5.48;227.0
Apricotsdehydratedlowmoisturesulfuredstewed;126.0;4.79;0.24;32.62;249.0
Apricotsdehydratedlowmoisturesulfureduncooked;320.0;4.79;0.62;82.89;119.0
Apricotsdriedsulfuredstewedwithaddedsugar;113.0;4.79;0.15;29.26;270.0
Apricotsdriedsulfuredstewedwithoutaddedsugar;85.0;19.57;0.18;22.15;250.0
Apricotsdriedsulfureduncooked;241.0;53.44;0.51;62.64;130.0
Apricotsfrozensweetened;98.0;53.44;0.1;25.1;242.0
Apricotsraw;48.0;9.24;0.39;11.12;155.0
ARBYSroastbeefsandwichclassic;242.0;3.84;10.3;22.21;149.0
ArchwayHomeStyleCookiesChocolateChipIceBox;497.0;34.06;24.4;65.02;24.0
ArchwayHomeStyleCookiesCoconutMacaroon;460.0;45.16;22.55;61.23;22.0
ArchwayHomeStyleCookiesDateFilledOatmeal;400.0;34.27;12.05;68.16;25.0
ArchwayHomeStyleCookiesDutchCocoa;431.0;35.35;14.99;69.44;24.0
ArchwayHomeStyleCookiesFrostyLemon;430.0;33.35;17.11;64.78;26.0
ArchwayHomeStyleCookiesIcedMolasses;420.0;38.43;14.43;69.12;28.0
ArchwayHomeStyleCookiesIcedOatmeal;435.0;37.2;16.53;66.76;28.0
ArchwayHomeStyleCookiesMolasses;403.0;36.35;12.06;69.41;26.0
ArchwayHomeStyleCookiesOatmeal;421.0;34.5;14.08;68.17;25.0
ArchwayHomeStyleCookiesOatmealRaisin;406.0;39.55;12.08;69.27;26.0
ArchwayHomeStyleCookiesOldFashionedMolasses;406.0;36.09;11.83;70.55;26.0
ArchwayHomeStyleCookiesOldFashionedWindmillCookies;468.0;32.64;17.55;72.23;20.0
ArchwayHomeStyleCookiesPeanutButter;480.0;32.55;24.28;58.48;21.0
ArchwayHomeStyleCookiesRaspberryFilled;400.0;31.76;13.26;65.92;25.0
ArchwayHomeStyleCookiesReducedFatGingerSnaps;424.0;36.28;11.14;76.23;32.0
ArchwayHomeStyleCookiesStrawberryFilled;400.0;31.76;13.26;65.92;25.0
ArchwayHomeStyleCookiesSugarFreeOatmeal;442.0;1.26;20.92;67.2;24.0
Arrowheadcookedboileddrainedwithsalt;78.0;1.26;0.1;16.14;12.0
Arrowheadcookedboileddrainedwithoutsalt;78.0;1.26;0.1;16.14;12.0
Arrowheadraw;99.0;1.26;0.29;20.23;25.0
Arrowrootflour;357.0;1.26;0.1;88.15;128.0
Arrowrootraw;65.0;1.26;0.2;13.39;120.0
Artichokesglobeorfrenchcookedboileddrainedwithsalt;51.0;0.99;0.34;11.39;120.0
Artichokesglobeorfrenchcookedboileddrainedwithoutsalt;53.0;0.99;0.34;11.95;120.0
Artichokesglobeorfrenchfrozencookedboileddrainedwithsalt;45.0;0.84;0.5;9.18;168.0
Artichokesglobeorfrenchfrozencookedboileddrainedwithoutsalt;45.0;0.84;0.5;9.18;168.0
Artichokesglobeorfrenchfrozenunprepared;38.0;0.84;0.43;7.75;84.0
Artichokesglobeorfrenchraw;47.0;0.99;0.15;10.51;128.0
ArtificialBlueberryMuffinMixdry;407.0;0.99;8.7;77.45;31.0
Arugularaw;25.0;2.05;0.66;3.65;2.0
Asparaguscanneddrainedsolids;19.0;1.06;0.65;2.46;242.0
Asparaguscannednosaltaddedsolidsandliquids;15.0;1.0;0.18;2.48;122.0
Asparaguscannedregularpacksolidsandliquids;15.0;1.0;0.18;2.48;122.0
Asparaguscookedboileddrained;22.0;1.3;0.22;4.11;90.0
Asparaguscookedboileddrainedwithsalt;22.0;1.3;0.22;4.11;90.0
Asparagusfrozencookedboileddrainedwithsalt;18.0;0.32;0.42;1.92;180.0
Asparagusfrozencookedboileddrainedwithoutsalt;18.0;0.32;0.42;1.92;180.0
Asparagusfrozenunprepared;24.0;0.32;0.23;4.1;58.0
Asparagusraw;20.0;1.88;0.12;3.88;134.0
Avocadosrawallcommercialvarieties;160.0;0.66;14.66;8.53;150.0
AvocadosrawCalifornia;167.0;0.3;15.41;8.64;230.0
AvocadosrawFlorida;120.0;2.42;10.06;7.82;230.0
Babyfoodappleyogurtdessertstrained;93.0;12.02;1.6;19.5;15.0
Babyfoodapplebananajuice;51.0;11.0;0.1;12.3;31.2
Babyfoodappleswithhamstrained;62.0;7.98;0.9;10.9;15.0
Babyfoodapplesdicestoddler;50.0;10.48;0.36;11.56;28.35
BabyfoodBabyMUMMUMRiceBiscuits;391.0;12.5;0.87;83.21;8.0
Babyfoodbakedproductfingersnackscerealfortified;421.0;28.0;9.9;76.68;1.7
Babyfoodbananaappledessertstrained;68.0;14.66;0.2;16.3;15.0
Babyfoodbananajuicewithlowfatyogurt;86.0;13.28;0.8;17.54;31.5
Babyfoodbanananotapiocastrained;91.0;11.36;0.2;21.34;15.0
Babyfoodbananawithmixedberriesstrained;92.0;15.0;0.36;21.31;99.0
BabyfoodbeverageGERBERGRADUATESFRUITSPLASHERS;29.0;6.12;0.0;7.35;113.0
Babyfoodcarrotsandbeefstrained;59.0;2.04;2.5;5.7;15.0
Babyfoodcarrotstoddler;21.0;2.5;0.3;5.23;28.35
Babyfoodcerealbarleydryfortified;376.0;13.2;6.6;69.4;2.4
Babyfoodcerealbarleypreparedwithwholemilk;84.0;5.1;3.26;9.94;28.35
Babyfoodcerealbrownricedryinstant;406.0;0.72;3.0;85.98;3.7
Babyfoodcerealeggyolksandbaconjunior;79.0;0.72;5.0;6.2;28.35
Babyfoodcerealhighproteinpreparedwithwholemilk;111.0;0.72;3.8;11.6;28.35
Babyfoodcerealhighproteinwithappleandorangedry;374.0;0.72;6.5;57.6;2.4
Babyfoodcerealhighproteinwithappleandorangepreparedwithwholemilk;112.0;0.72;3.9;13.4;28.35
Babyfoodcerealmixeddryfortified;399.0;26.66;6.66;78.21;2.5
Babyfoodcerealmixedpreparedwithwholemilk;96.0;4.78;3.38;12.3;28.35
Babyfoodcerealmixedwithapplesauceandbananasjuniorfortified;84.0;11.1;0.51;18.79;28.35
Babyfoodcerealmixedwithapplesauceandbananasstrained;82.0;11.1;0.51;18.38;28.35
Babyfoodcerealmixedwithbananasdry;391.0;6.68;4.6;77.1;2.5
Babyfoodcerealmixedwithbananaspreparedwithwholemilk;86.0;5.9;3.46;10.0;28.35
Babyfoodcerealmixedwithhoneypreparedwithwholemilk;115.0;5.9;3.6;15.9;28.35
Babyfoodcerealoatmealdryfortified;394.0;11.67;6.36;73.48;3.2
Babyfoodcerealoatmealpreparedwithwholemilk;116.0;11.67;4.1;15.3;28.35
Babyfoodcerealoatmealwithapplesauceandbananasjuniorfortified;76.0;8.85;0.89;16.03;28.35
Babyfoodcerealoatmealwithapplesauceandbananasstrained;75.0;8.85;0.89;15.62;28.35
Babyfoodcerealoatmealwithbananasdry;399.0;26.66;6.67;78.07;15.0
Babyfoodcerealoatmealwithbananaspreparedwithwholemilk;86.0;5.9;3.46;10.0;28.35
Babyfoodcerealoatmealwithhoneydry;391.0;5.9;7.0;69.3;2.4
Babyfoodcerealoatmealwithhoneypreparedwithwholemilk;115.0;5.9;3.9;15.3;28.35
Babyfoodcerealricewithpearsandappledryinstantfortified;389.0;1.35;0.9;88.5;15.0
Babyfoodcerealricedryfortified;390.0;4.85;2.19;83.14;2.5
Babyfoodcerealricepreparedwithwholemilk;85.0;4.87;3.38;10.31;28.35
Babyfoodcerealricewithapplesauceandbananasstrained;80.0;2.24;0.4;17.1;16.0
Babyfoodcerealricewithbananasdry;404.0;16.7;4.2;79.9;2.5
Babyfoodcerealricewithbananaspreparedwithwholemilk;86.0;6.13;3.32;10.49;28.35
Babyfoodcerealricewithhoneypreparedwithwholemilk;115.0;6.13;3.3;17.1;28.35
Babyfoodcerealwholewheatwithapplesdryfortified;402.0;26.66;4.8;83.2;15.0
Babyfoodcerealwitheggyolksjunior;52.0;26.66;1.8;7.1;28.35
Babyfoodcerealwitheggyolksstrained;51.0;26.66;1.8;7.0;28.35
Babyfoodcerealwitheggsstrained;58.0;26.66;1.5;8.0;28.35
Babyfoodcherrycobblerjunior;78.0;10.39;0.1;19.2;28.35
Babyfoodcookiebabyfruit;435.0;24.2;12.6;73.7;8.0
Babyfoodcookies;433.0;24.2;13.2;67.1;28.35
Babyfoodcookiesarrowroot;424.0;24.2;10.0;75.4;28.35
Babyfoodcornandsweetpotatoesstrained;68.0;4.0;0.28;15.23;28.35
Babyfoodcrackersvegetable;477.0;13.0;19.6;66.85;0.7
Babyfooddessertbananapuddingstrained;68.0;10.55;0.8;14.14;15.0
Babyfooddessertbananayogurtstrained;78.0;12.2;0.52;17.35;15.0
Babyfooddessertblueberryyogurtstrained;77.0;13.62;0.7;17.05;15.0
Babyfooddessertcherryvanillapuddingjunior;69.0;16.98;0.2;18.4;28.35
Babyfooddessertcherryvanillapuddingstrained;68.0;9.15;0.3;17.8;28.35
Babyfooddessertcustardpuddingvanillajunior;86.0;12.2;0.98;17.58;229.0
Babyfooddessertcustardpuddingvanillastrained;85.0;11.5;2.0;16.0;229.0
Babyfooddessertdutchapplejunior;79.0;17.89;0.16;19.18;28.35
Babyfooddessertdutchapplestrained;75.0;17.89;0.4;19.74;28.35
Babyfooddessertfruitdessertwithoutascorbicacidjunior;63.0;12.0;0.0;17.2;15.0
Babyfooddessertfruitdessertwithoutascorbicacidstrained;59.0;12.6;0.0;16.0;15.0
Babyfooddessertfruitpuddingorangestrained;80.0;12.6;0.9;17.7;28.35
Babyfooddessertfruitpuddingpineapplestrained;81.0;10.28;0.3;20.3;15.0
Babyfooddessertpeachcobblerjunior;67.0;11.89;0.0;18.3;15.0
Babyfooddessertpeachcobblerstrained;65.0;10.62;0.0;17.8;15.0
Babyfooddessertpeachmelbajunior;60.0;10.62;0.0;16.4;28.35
Babyfooddessertpeachmelbastrained;60.0;10.62;0.0;16.5;28.35
Babyfooddessertpeachyogurt;77.0;11.11;0.18;17.6;15.0
Babyfooddesserttropicalfruitjunior;60.0;11.11;0.0;16.4;28.35
Babyfooddinnerapplesandchickenstrained;65.0;6.06;1.38;10.88;28.35
Babyfooddinnerbeefandricetoddler;82.0;0.0;2.9;8.8;28.35
Babyfooddinnerbeeflasagnatoddler;77.0;0.0;2.1;10.0;28.35
Babyfooddinnerbeefnoodlejunior;57.0;1.45;1.9;7.3;16.0
Babyfooddinnerbeefnoodlestrained;63.0;1.42;2.26;8.18;16.0
Babyfooddinnerbeefwithvegetables;96.0;2.16;6.93;6.36;113.0
Babyfooddinnerbroccoliandchickenjunior;62.0;1.43;2.48;6.34;29.0
Babyfooddinnerchickenandrice;51.0;0.55;0.9;9.2;16.0
Babyfooddinnerchickennoodlejunior;74.0;2.67;3.23;7.8;16.0
Babyfooddinnerchickennoodlestrained;74.0;2.69;3.22;7.81;16.0
Babyfooddinnerchickensoupstrained;50.0;1.72;1.7;7.2;113.0
Babyfooddinnerchickenstewtoddler;78.0;1.68;3.7;6.4;16.0
Babyfooddinnermacaroniandcheesejunior;61.0;1.32;2.0;8.2;28.35
Babyfooddinnermacaroniandcheesestrained;67.0;1.27;2.11;8.95;28.35
Babyfooddinnermacaroniandtomatoandbeefjunior;59.0;2.43;1.1;9.4;16.0
Babyfooddinnermacaroniandtomatoandbeefstrained;61.0;2.09;1.47;9.45;16.0
Babyfooddinnermacaronibeefandtomatosaucetoddler;82.0;0.37;1.9;11.53;16.0
Babyfooddinnermixedvegetablejunior;34.0;3.08;0.11;7.88;99.0
Babyfooddinnermixedvegetablestrained;41.0;3.08;0.1;9.5;28.35
Babyfooddinnerpastawithvegetables;60.0;1.2;2.1;8.4;113.0
Babyfooddinnerspaghettiandtomatoandmeatjunior;68.0;2.72;1.37;11.42;16.0
Babyfooddinnerspaghettiandtomatoandmeattoddler;75.0;2.72;1.0;10.8;28.35
Babyfooddinnersweetpotatoesandchickenstrained;74.0;2.65;2.17;11.04;16.0
Babyfooddinnerturkeyandricejunior;56.0;1.25;0.92;9.57;16.0
Babyfooddinnerturkeyandricestrained;52.0;1.66;1.24;7.94;16.0
Babyfooddinnerturkeyriceandvegetablestoddler;60.0;1.12;1.6;7.5;28.35
Babyfooddinnervegetablesandbeefjunior;77.0;2.34;3.6;8.84;256.0
Babyfooddinnervegetablesandbeefstrained;77.0;2.34;3.6;8.84;256.0
Babyfooddinnervegetablesandchickenjunior;53.0;1.46;1.12;8.66;256.0
Babyfooddinnervegetablesanddumplingsandbeefjunior;48.0;0.0;0.8;8.0;28.35
Babyfooddinnervegetablesanddumplingsandbeefstrained;48.0;0.0;0.9;7.7;28.35
Babyfooddinnervegetablesandlambjunior;51.0;0.94;1.7;7.1;28.35
Babyfooddinnervegetablesandnoodlesandturkeyjunior;52.0;0.94;1.5;7.6;28.35
Babyfooddinnervegetablesandnoodlesandturkeystrained;44.0;0.94;1.2;6.8;28.35
Babyfooddinnervegetablesandturkeyjunior;53.0;1.36;1.74;7.55;256.0
Babyfooddinnervegetablesandturkeystrained;48.0;1.54;0.9;7.62;256.0
Babyfooddinnervegetableschickenstrained;59.0;1.58;1.73;8.42;256.0
Babyfooddinnervegetablesnoodlesandchickenjunior;64.0;1.58;2.2;9.1;28.35
Babyfooddinnervegetablesnoodlesandchickenstrained;63.0;1.58;2.5;7.9;28.35
Babyfoodfortifiedcerealbarfruitfilling;344.0;42.0;5.3;68.63;19.0
Babyfoodfruitandvegetableappleandsweetpotato;64.0;11.6;0.22;15.3;113.0
Babyfoodfruitdessertmangowithtapioca;70.0;13.0;0.2;19.0;15.0
Babyfoodfruitsupremedessert;73.0;14.87;0.2;17.18;15.0
Babyfoodfruitappleandblueberryjunior;62.0;8.83;0.2;16.6;28.35
Babyfoodfruitappleandblueberrystrained;61.0;13.93;0.2;16.3;28.35
Babyfoodfruitappleandraspberryjunior;58.0;12.96;0.2;15.4;28.35
Babyfoodfruitappleandraspberrystrained;58.0;12.96;0.2;15.6;28.35
Babyfoodfruitapplesauceandapricotsjunior;47.0;8.72;0.2;12.4;16.0
Babyfoodfruitapplesauceandapricotsstrained;44.0;9.25;0.2;11.64;16.0
Babyfoodfruitapplesauceandcherriesjunior;51.0;10.61;0.0;14.1;28.35
Babyfoodfruitapplesauceandcherriesstrained;51.0;10.81;0.0;14.1;28.35
Babyfoodfruitapplesauceandpineapplejunior;39.0;10.81;0.1;10.5;28.35
Babyfoodfruitapplesauceandpineapplestrained;37.0;10.81;0.1;10.1;28.35
Babyfoodfruitapplesaucewithbananajunior;66.0;4.35;0.1;16.16;16.0
